Geneid	/ufrc/jkim6/share/braskey/data/PRJNA546251/HISAT2/SRR9200664.sam
AT1G01010	82
AT1G01020	79
AT1G01030	36
AT1G01040	909
AT1G01046	6
AT1G01050	516
AT1G01060	2254
AT1G01070	40
AT1G01073	0
AT1G01080	288
AT1G01090	2747
AT1G01100	638
AT1G01110	76
AT1G01115	0
AT1G01120	2648
AT1G01130	15
AT1G01140	692
AT1G01150	0
AT1G01160	285
AT1G01170	285
AT1G01180	249
AT1G01183	0
AT1G01190	11
AT1G01200	38
AT1G01210	56
AT1G01220	206
AT1G01225	38
AT1G01230	259
AT1G01240	301
AT1G01250	5
AT1G01260	215
AT1G01270	0
AT1G01280	0
AT1G01290	115
AT1G01300	540
AT1G01305	0
AT1G01310	1
AT1G01320	2070
AT1G01340	65
AT1G01350	183
AT1G01355	1
AT1G01360	138
AT1G01370	21
AT1G01380	12
AT1G01390	109
AT1G01400	0
AT1G01410	0
AT1G01420	61
AT1G01430	1464
AT1G01440	397
AT1G01448	344
AT1G01450	0
AT1G01453	31
AT1G01460	0
AT1G01470	349
AT1G01471	0
AT1G01480	31
AT1G01490	673
AT1G01500	95
AT1G01510	452
AT1G01520	34
AT1G01530	0
AT1G01540	1306
AT1G01550	1856
AT1G01560	5
AT1G01570	27
AT1G01580	74
AT1G01590	0
AT1G01600	25
AT1G01610	841
AT1G01620	14776
AT1G01630	511
AT1G01640	123
AT1G01650	323
AT1G01660	30
AT1G01670	7
AT1G01680	0
AT1G01690	41
AT1G01695	4
AT1G01700	4
AT1G01710	357
AT1G01720	352
AT1G01725	44
AT1G01730	255
AT1G01740	44
AT1G01750	91
AT1G01760	43
AT1G01770	315
AT1G01780	323
AT1G01790	1575
AT1G01800	422
AT1G01810	5
AT1G01820	493
AT1G01830	112
AT1G01840	2
AT1G01860	119
AT1G01870	0
AT1G01880	30
AT1G01890	0
AT1G01900	118
AT1G01910	349
AT1G01920	175
AT1G01930	171
AT1G01940	77
AT1G01950	392
AT1G01960	1371
AT1G01970	124
AT1G01980	0
AT1G01990	169
AT1G02000	206
AT1G02010	248
AT1G02020	189
AT1G02030	7
AT1G02040	0
AT1G02050	111
AT1G02060	97
AT1G02065	4
AT1G02070	2
AT1G02074	1
AT1G02080	1818
AT1G02090	274
AT1G02100	576
AT1G02110	357
AT1G02120	1248
AT1G02130	309
AT1G02140	482
AT1G02145	190
AT1G02150	551
AT1G02160	63
AT1G02170	314
AT1G02180	36
AT1G02190	2
AT1G02205	66
AT1G02210	0
AT1G02220	30
AT1G02230	3
AT1G02250	0
AT1G02260	176
AT1G02270	113
AT1G02280	410
AT1G02290	102
AT1G02300	220
AT1G02305	938
AT1G02310	4
AT1G02320	4
AT1G02330	238
AT1G02335	292
AT1G02340	233
AT1G02350	15
AT1G02360	211
AT1G02370	42
AT1G02380	20
AT1G02390	10
AT1G02391	0
AT1G02400	128
AT1G02405	2
AT1G02410	112
AT1G02420	21
AT1G02430	2
AT1G02440	0
AT1G02450	0
AT1G02460	8
AT1G02470	5
AT1G02475	200
AT1G02480	0
AT1G02490	0
AT1G02500	5305
AT1G02510	0
AT1G02520	75
AT1G02530	1
AT1G02540	0
AT1G02550	0
AT1G02560	1016
AT1G02570	30
AT1G02575	7
AT1G02580	6
AT1G02590	0
AT1G02600	0
AT1G02610	67
AT1G02620	7
AT1G02630	3
AT1G02640	657
AT1G02650	12
AT1G02660	644
AT1G02670	44
AT1G02680	69
AT1G02690	127
AT1G02700	8
AT1G02710	0
AT1G02720	79
AT1G02730	393
AT1G02740	92
AT1G02750	70
AT1G02760	0
AT1G02770	8
AT1G02780	2458
AT1G02790	0
AT1G02800	9
AT1G02810	159
AT1G02813	0
AT1G02816	107
AT1G02820	9
AT1G02830	0
AT1G02840	1979
AT1G02850	168
AT1G02860	352
AT1G02870	80
AT1G02880	179
AT1G02890	1860
AT1G02900	285
AT1G02910	392
AT1G02920	133
AT1G02930	50
AT1G02940	0
AT1G02950	156
AT1G02952	0
AT1G02960	277
AT1G02965	0
AT1G02970	23
AT1G02980	1
AT1G02990	225
AT1G03000	415
AT1G03010	9
AT1G03020	0
AT1G03022	0
AT1G03030	130
AT1G03040	315
AT1G03050	0
AT1G03055	15
AT1G03060	1040
AT1G03070	15
AT1G03080	1952
AT1G03090	5572
AT1G03100	11
AT1G03103	0
AT1G03106	1
AT1G03110	72
AT1G03120	8
AT1G03130	4653
AT1G03140	459
AT1G03150	166
AT1G03160	399
AT1G03170	5
AT1G03180	28
AT1G03190	156
AT1G03200	2
AT1G03210	273
AT1G03220	2838
AT1G03230	230
AT1G03240	0
AT1G03250	174
AT1G03260	113
AT1G03270	22
AT1G03280	492
AT1G03290	329
AT1G03300	83
AT1G03310	168
AT1G03320	0
AT1G03330	149
AT1G03340	36
AT1G03350	479
AT1G03360	53
AT1G03365	229
AT1G03370	451
AT1G03380	889
AT1G03390	0
AT1G03400	199
AT1G03410	418
AT1G03430	127
AT1G03440	192
AT1G03445	5
AT1G03457	295
AT1G03470	123
AT1G03475	901
AT1G03490	0
AT1G03495	1
AT1G03502	2
AT1G03506	2
AT1G03510	7
AT1G03515	0
AT1G03520	215
AT1G03530	119
AT1G03540	14
AT1G03545	15
AT1G03550	240
AT1G03560	99
AT1G03570	0
AT1G03590	749
AT1G03600	1970
AT1G03610	524
AT1G03620	27
AT1G03630	653
AT1G03640	0
AT1G03650	6
AT1G03660	10
AT1G03670	0
AT1G03680	848
AT1G03687	79
AT1G03700	6
AT1G03710	2
AT1G03720	0
AT1G03730	44
AT1G03740	569
AT1G03743	0
AT1G03746	0
AT1G03750	106
AT1G03760	69
AT1G03770	84
AT1G03780	121
AT1G03790	76
AT1G03800	1
AT1G03810	0
AT1G03820	69
AT1G03830	86
AT1G03840	13
AT1G03850	310
AT1G03860	381
AT1G03870	5044
AT1G03880	0
AT1G03890	0
AT1G03900	977
AT1G03905	53
AT1G03910	557
AT1G03920	92
AT1G03930	524
AT1G03935	8
AT1G03940	0
AT1G03950	127
AT1G03960	127
AT1G03970	158
AT1G03980	6
AT1G03982	0
AT1G03990	4
AT1G04000	183
